,RMSE,MAE,MAPE,PI_Width,CI_Coverage,PI_Overlap
mean,1164.1974076948889,1067.8851612006292,30.006266437451398,0.0,0.0,0.0
std,1411.7158417851388,1435.915244601012,39.967541991701054,0.0,0.0,0.0
