,RMSE,MAE,MAPE,PI Width,CI Coverage,PI Overlap
mean,1080.3175075189615,989.9728586832682,26.227799839941824,0.0,0.0,0.0
std,821.6957890231527,792.0270160690026,20.34113515691593,0.0,0.0,0.0
