,RMSE,MAE,MAPE,PI Width,CI Coverage,PI Overlap
mean,636.0670234986916,468.38714904785155,14.91946519453601,0.0,0.0,0.0
std,20.328152531901573,35.669760519144994,0.9550100648060768,0.0,0.0,0.0
