,RMSE,MAE,MAPE,PI Width,CI Coverage,PI Overlap
mean,5231.479054868633,3091.528791809082,78.88171642353727,0.0,0.0,0.0
std,9730.714109889188,4339.780637235409,110.13292351337905,0.0,0.0,0.0
