True,Pred
2634,4002.0698
2734,4021.955
2810,4039.1218
2925,4046.6875
2970,4071.907
2739,4086.9526
2718,4098.5063
3098,4107.779
3416,4115.547
3721,4122.779
3608,4128.6816
3475,4133.545
3384,4137.58
3668,4140.9663
3624,4143.832
3518,4146.2275
3695,4148.2285
3745,4149.9004
4044,4151.3003
4332,4152.4727
4006,4153.454
4252,4154.2754
4056,4154.962
4129,4155.536
3950,4156.017
3980,4156.4194
4000,4156.757
4022,4157.038
3832,4157.2734
3820,4157.4707
4017,4157.6357
4008,4157.7734
3671,4157.8887
4155,4157.9854
3922,4158.0664
4079,4158.134
4063,4158.1904
4085,4158.2373
4061,4158.2773
3882,4158.3105
3999,4158.3384
3692,4158.3613
3976,4158.3804
