,train_mean_rmse,train_std_rmse,test_mean_rmse,test_std_rmse,train_mean_mape,train_std_mape,test_mean_mape,test_std_mape,trials_completed
42,557.1275,341.7286,2761.0395,2355.1257,13.1729,9.1063,39.8631,31.4196,30.0
123,620.4049,347.3232,2457.9515,1030.8261,14.999,9.2689,37.1906,17.2267,30.0
456,613.4017,322.234,2803.6557,1049.8719,14.8668,8.6306,41.8746,15.9357,30.0
789,511.4881,260.921,2070.3247,927.2968,12.0707,6.8693,30.9059,15.5737,30.0
1000,474.871,193.1803,2123.4561,801.0392,10.9126,5.0782,31.5921,13.9182,30.0
