True,Pred
2634,3976.156
2734,4065.4216
2810,4086.2793
2925,4079.5981
2970,4112.4126
2739,4127.0024
2718,4154.5913
3098,4177.4956
3416,4198.618
3721,4221.33
3608,4243.0723
3475,4265.462
3384,4287.9775
3668,4310.522
3624,4333.2656
3518,4356.078
3695,4379.022
3745,4402.0903
4044,4425.272
4332,4448.5835
4006,4472.013
4252,4495.5664
4056,4519.2456
4129,4543.0522
3950,4566.978
3980,4591.0317
4000,4615.2104
4022,4639.5176
3832,4663.948
3820,4688.512
4017,4713.205
4008,4738.032
3671,4762.9814
4155,4788.0645
3922,4813.281
4079,4838.628
4063,4864.1113
4085,4889.724
4061,4915.4736
3882,4941.3623
3999,4967.38
3692,4993.5425
3976,5019.835
