,RMSE,MAE,MAPE,PI_Width,CI_Coverage,PI_Overlap
mean,629.0154060890426,539.4167041809578,15.178336708867601,0.0,0.0,0.0
std,325.7164962337878,335.4145489618141,9.157428867115215,0.0,0.0,0.0
