True,Pred
3098,3946.3726
3416,3959.7007
3721,3970.7986
3608,3979.9282
3475,3987.5325
3384,3993.825
3668,3999.0583
3624,4003.4116
3518,4007.0413
3695,4010.0945
3745,4012.6267
4044,4014.7869
4332,4016.5522
4006,4018.0283
4252,4019.2588
4056,4020.284
4129,4021.138
3950,4021.8494
3980,4022.4429
4000,4022.9368
4022,4023.3494
3832,4023.6921
3820,4023.9783
4017,4024.2173
4008,4024.4158
3671,4024.581
4155,4024.719
3922,4024.8335
4079,4024.9294
4063,4025.0093
4085,4025.0754
4061,4025.1306
3882,4025.1775
3999,4025.2156
3692,4025.2473
3976,4025.2742
