,RMSE,MAE,MAPE,PI Width,CI Coverage,PI Overlap
mean,682.9260087679666,560.02494170906,16.801213347956352,0.0,0.0,0.0
std,179.62314573057378,200.6983778145401,5.609404737536371,0.0,0.0,0.0
