,RMSE,MAE,MAPE,PI Width,CI Coverage,PI Overlap
mean,335.835749561642,254.1773234049479,7.373061973785142,0.0,0.0,0.0
std,92.37092268960743,95.17877633767877,2.638900662412528,0.0,0.0,0.0
