True,Pred
2718,4009.3303
3098,4033.309
3416,4041.4587
3721,4052.449
3608,4057.5112
3475,4061.7295
3384,4065.012
3668,4069.185
3624,4078.212
3518,4085.2026
3695,4099.662
3745,4107.398
4044,4113.974
4332,4119.672
4006,4124.9487
4252,4129.823
4056,4134.4995
4129,4139.0425
3950,4143.491
3980,4147.8193
4000,4151.8984
4022,4155.7534
3832,4159.204
3820,4162.407
4017,4165.3994
4008,4168.21
3671,4170.856
4155,4173.351
3922,4175.7036
4079,4177.918
4063,4179.997
4085,4181.944
4061,4183.766
3882,4185.4707
3999,4187.0684
3692,4188.5674
3976,4189.975
