,RMSE,MAE,MAPE,PI_Width,CI_Coverage,PI_Overlap
mean,565.7888952859727,475.36728479456025,13.932718471054786,0.0,0.0,0.0
std,158.35459182844227,152.51411882297543,4.082261376688125,0.0,0.0,0.0
