,RMSE,MAE,MAPE,PI Width,CI Coverage,PI Overlap
mean,inf,9.486135524684306e+16,2428744158450954.5,0.0,0.0,0.0
std,,5.1957704104204915e+17,1.3302779619924334e+16,0.0,0.0,0.0
