,RMSE,MAE,MAPE,MSE,PI Width,CI Coverage,PI Overlap
mean,2083.1462387303836,1950.886873372396,32.60513717109565,5071490.8,0.0,0.0,0.0
std,870.1917434740866,880.6790037348452,15.266485543581226,6366230.044400905,0.0,0.0,0.0
