seed_idx,seed,trial,trial_seed,train_rmse,train_mae,train_mape,train_pi_coverage,test_rmse,test_mae,test_mape,test_pi_coverage
0,42,0,42,273.61861258513056,220.21220607383577,5.78354788967855,94.11764705882352,1400.2295248888186,1227.6374918619792,20.07387539509374,58.333333333333336
0,42,1,43,289.9916297683435,237.95483877144608,6.2517538070579315,98.0392156862745,1233.9858427223799,1043.2722574869792,16.916848397246927,66.66666666666666
0,42,2,44,329.3222241866073,273.5193062576593,7.123079440865113,94.11764705882352,1368.8523617573637,1213.3447265625,19.907383315351378,58.333333333333336
0,42,3,45,343.38914933520664,275.5449458103554,7.256880979280002,96.07843137254902,1287.1675598972465,1106.151123046875,17.998622715285048,58.333333333333336
0,42,4,46,289.15073262392366,232.95311063878677,6.1108313292654355,94.11764705882352,1335.7381126152304,1160.3666585286458,18.922776491545346,58.333333333333336
1,1042,0,1042,286.1729550862361,236.1284849877451,6.1032394570838,96.07843137254902,1403.6940607054078,1248.4993489583333,20.501216219591832,58.333333333333336
1,1042,1,1043,306.19685374487113,252.3233331418505,6.61409231832996,96.07843137254902,1302.9190152719198,1117.9081217447917,18.17798094564359,58.333333333333336
1,1042,2,1044,246.7013841951319,194.3809263939951,5.128767356754027,94.11764705882352,1030.8543861663934,775.6875,12.294004697100892,91.66666666666666
1,1042,3,1045,291.801144471874,236.87454522824754,6.191377778352175,94.11764705882352,1330.463048574074,1156.6546223958333,18.871804294553783,58.333333333333336
1,1042,4,1046,276.12639487725886,222.05582682291666,5.832979773110562,98.0392156862745,1243.708316437218,1052.1469319661458,17.056949697719336,58.333333333333336
2,2042,0,2042,274.5770062434372,212.16243489583334,5.540642245653273,94.11764705882352,1264.2182220214759,1059.7547200520833,17.174326188662878,75.0
2,2042,1,2043,284.82955396845654,232.4338809742647,6.095350742626819,96.07843137254902,1214.2574228566755,1017.9448649088541,16.46650112706509,58.333333333333336
2,2042,2,2044,290.1653432105648,234.10229970894608,6.114920810556212,96.07843137254902,1334.5138211868787,1164.0407307942708,19.012121560424053,58.333333333333336
2,2042,3,2045,291.6789840919714,238.16876340379903,6.241363591257977,96.07843137254902,1298.6211729914316,1120.5478515625,18.253527467335353,58.333333333333336
2,2042,4,2046,288.80927637486604,233.91100834865196,6.123521512926387,96.07843137254902,1294.3771363045869,1114.5545654296875,18.13901115101886,58.333333333333336
3,3042,0,3042,300.2020444441978,246.51360964307597,6.469099550307216,98.0392156862745,1282.1702894715324,1102.465576171875,17.949441816491866,58.333333333333336
3,3042,1,3043,294.71585644572474,238.83243336397058,6.247948808740243,94.11764705882352,1333.6102116360512,1160.7470296223958,18.947457761059,58.333333333333336
3,3042,2,3044,283.61719720292814,228.95104741115196,6.067989264182724,98.0392156862745,1090.6326415774697,860.72216796875,13.761150847201497,75.0
3,3042,3,3045,295.9320097914058,240.69999904258577,6.332561672083754,94.11764705882352,1111.8671242898702,889.91748046875,14.266219654862322,75.0
3,3042,4,3046,250.26941368754228,210.67568072150735,5.606872610394919,98.0392156862745,958.3444300512608,679.51904296875,10.673824025909944,91.66666666666666
4,4042,0,4042,228.34297469578237,180.5717342601103,4.752177877936864,96.07843137254902,1371.436861430958,1172.4000244140625,19.006356908439404,58.333333333333336
4,4042,1,4043,379.44619366411774,282.67082184436276,7.332855157514519,96.07843137254902,1350.3277092466215,1175.704345703125,19.193955766534543,58.333333333333336
4,4042,2,4044,294.18128012607946,238.90267405790442,6.250673416856413,94.11764705882352,1351.6890485673498,1183.8487548828125,19.356532861086805,58.333333333333336
4,4042,3,4045,304.3076334102221,247.21935795802696,6.476261501719321,98.0392156862745,1299.682417041656,1124.982666015625,18.344897997271,58.333333333333336
4,4042,4,4046,267.7666785148032,214.10660328584558,5.605200909534774,94.11764705882352,1314.4018688856863,1113.8343098958333,18.05209449125171,75.0
5,5042,0,5042,306.26310436572027,245.92679610906862,6.4400943409658975,94.11764705882352,1305.8241355135954,1119.417724609375,18.188113122673087,58.333333333333336
5,5042,1,5043,282.615370836193,228.54233685661765,6.002896937746233,94.11764705882352,1413.7452505834024,1248.4892171223958,20.448300646719893,58.333333333333336
5,5042,2,5044,222.48901718217226,174.84505208333334,4.61571653809002,96.07843137254902,1081.5779106284235,841.2202962239584,13.396834652954634,83.33333333333334
5,5042,3,5045,275.20050761971964,227.62684780943627,5.922717097206679,96.07843137254902,1375.596356977484,1209.6286214192708,19.792463610421503,58.333333333333336
5,5042,4,5046,280.81004574075365,229.6957337622549,5.959379690528584,98.0392156862745,1382.8940994031918,1227.1559651692708,20.140400422767215,58.333333333333336
6,6042,0,6042,287.1373347225107,230.5734193091299,6.068852168194145,98.0392156862745,1211.164020409712,1010.8787434895834,16.338505428116452,66.66666666666666
6,6042,1,6043,287.1525783087374,232.5497137331495,6.08112746675489,94.11764705882352,1346.9910604860675,1174.6319986979167,19.178251829671378,58.333333333333336
6,6042,2,6044,271.6111765766432,214.60617244944854,5.611173523252367,94.11764705882352,1278.568763441113,1093.8000895182292,17.780731339177834,58.333333333333336
6,6042,3,6045,347.06334381489086,292.3339652267157,7.597543021158305,98.0392156862745,1380.77468955668,1227.9961751302083,20.1749645772629,58.333333333333336
6,6042,4,6046,280.3402603262024,225.13448318780638,5.895364746565061,94.11764705882352,1311.3698062422611,1131.8489990234375,18.43384322466955,58.333333333333336
7,7042,0,7042,277.70731298030745,224.0236385569853,5.890036577873472,98.0392156862745,1284.4806800645151,1099.8468017578125,17.87561422103242,58.333333333333336
7,7042,1,7043,299.1167931783786,237.4916752833946,6.25507894130511,92.15686274509804,1157.9228641733855,946.4910074869791,15.234316031168897,75.0
7,7042,2,7044,304.32751803052184,247.05453910079657,6.463388671990687,96.07843137254902,1271.273839083295,1090.6182047526042,17.743918365582587,58.333333333333336
7,7042,3,7045,280.6132933190671,227.41222426470588,5.952764070214649,96.07843137254902,1389.1376463088432,1229.7996826171875,20.170502308401616,58.333333333333336
