,RMSE,MAE,MAPE,PI_Width,CI_Coverage,PI_Overlap
mean,456.44838824305674,366.0519543159299,10.466185815012057,0.0,0.0,0.0
std,58.53493453635714,74.77306990433321,1.6120230800979243,0.0,0.0,0.0
