,RMSE,MAE,MAPE,PI_Width,CI_Coverage,PI_Overlap
mean,2214.6603963576445,2135.639517931434,58.39965185118701,0.0,0.0,0.0
std,5009.1293715832735,5030.563653127987,136.62246861827938,0.0,0.0,0.0
