,RMSE,MAE,MAPE,PI Width,CI Coverage,PI Overlap
mean,456.9312109812312,370.50750453176056,6.441186589397756,0.0,0.0,0.0
std,117.9439160445805,105.36086292882109,1.7767321626015598,0.0,0.0,0.0
