,RMSE,MAE,MAPE,PI_Width,CI_Coverage,PI_Overlap
mean,497.6047647433449,395.04351876111537,11.436764872125,0.0,0.0,0.0
std,118.59684813253867,117.40659256077407,3.2216519052915924,0.0,0.0,0.0
