,RMSE,MAE,MAPE,PI_Width,CI_Coverage,PI_Overlap
mean,605.3143218044751,505.85322384717995,14.37229933467257,0.0,0.0,0.0
std,247.002001778389,259.6453809647955,7.023728348413831,0.0,0.0,0.0
