True,Pred
2822,3914.48
2850,3924.0508
2634,3945.6711
2734,3952.1084
2810,3962.4304
2925,3972.0234
2970,3980.5093
2739,3988.6843
2718,3996.3115
3098,4003.4417
3416,4010.1292
3721,4016.3901
3608,4022.2515
3475,4027.74
3384,4032.878
3668,4037.6873
3624,4042.1887
3518,4046.4019
3695,4050.344
3745,4054.0332
4044,4057.485
4332,4060.7144
4006,4063.7358
4252,4066.5625
4056,4069.2068
4129,4071.68
3950,4073.9932
3980,4076.1575
4000,4078.1812
4022,4080.0737
3832,4081.844
3820,4083.4993
4017,4085.0474
4008,4086.4949
3671,4087.8481
4155,4089.1135
3922,4090.2974
4079,4091.4038
4063,4092.4385
4085,4093.4055
4061,4094.3103
3882,4095.1555
3999,4095.946
3692,4096.685
3976,4097.376
