,RMSE,MAE,MAPE,PI Width,CI Coverage,PI Overlap
mean,99518063.05504677,28625795.321266685,733280.6311391166,0.0,0.0,0.0
std,544467033.2546399,156562843.8463812,4010587.271784835,0.0,0.0,0.0
