seed_idx,seed,trial,trial_seed,train_rmse,train_mae,train_mape,train_pi_coverage,test_rmse,test_mae,test_mape,test_pi_coverage
0,42,0,42,281.86283992764277,233.20717007506127,6.08196421987024,96.07843137254902,1278.0903929142169,1085.0115966796875,17.58588270628943,58.333333333333336
0,42,1,43,289.3767778044056,237.8665268841912,6.243662420740273,98.0392156862745,1256.148718154777,1067.4217529296875,17.323009625231734,58.333333333333336
0,42,2,44,273.56837293988,219.00039253982843,5.74486460146574,98.0392156862745,1196.5391456240764,992.8656819661459,16.023745657105856,66.66666666666666
0,42,3,45,266.3396587183731,212.36262542126227,5.563111103682859,94.11764705882352,1262.1404500746678,1071.015380859375,17.366169182362658,58.333333333333336
0,42,4,46,323.3865777862875,264.8742005591299,6.932431439264025,96.07843137254902,1342.4101765727994,1178.9690348307292,19.29871853747128,58.333333333333336
0,42,5,47,299.4718115064773,238.23295802696077,6.177932367125088,94.11764705882352,1395.8110716565534,1238.4825032552083,20.32207911413981,58.333333333333336
0,42,6,48,326.1275818011848,267.2246476715686,6.993081094587625,96.07843137254902,1357.9947722174065,1197.9753011067708,19.633152282285014,58.333333333333336
0,42,7,49,306.35362545699894,251.25704656862746,6.590469782195559,98.0392156862745,1270.693095159512,1090.1023763020833,17.73940756397141,58.333333333333336
0,42,8,50,315.36338201356676,259.64622587316177,6.806340212809752,98.0392156862745,1297.810521638599,1125.9120686848958,18.370667213767508,58.333333333333336
0,42,9,51,261.94536391684505,205.9062260646446,5.404845822668889,96.07843137254902,1217.397104621217,1014.8662516276041,16.388323147272924,66.66666666666666
1,1042,0,1042,225.2080082338698,177.3233139935662,4.67596859132812,94.11764705882352,1101.892934916851,878.2435709635416,14.070294262540475,75.0
1,1042,1,1043,271.31906473636815,209.0535768995098,5.441266577381433,94.11764705882352,1362.3409354821606,1185.4818115234375,19.3528299746527,58.333333333333336
1,1042,2,1044,297.1649876081595,239.20076018688727,6.277085084011831,98.0392156862745,1268.2517968410457,1083.4227701822917,17.607179871230617,58.333333333333336
1,1042,3,1045,312.70647775415455,256.3116335401348,6.7178827264326095,98.0392156862745,1304.5467439195445,1132.4918212890625,18.484381898811687,58.333333333333336
1,1042,4,1046,281.70363486330365,228.4609375,5.996297351977487,94.11764705882352,1313.8041786496858,1131.9486083984375,18.42247659126216,58.333333333333336
1,1042,5,1047,351.7945518213446,280.4272030101103,7.237269399242803,90.19607843137256,1587.928093090128,1447.3756103515625,23.920094400882306,33.33333333333333
1,1042,6,1048,275.47559951645485,223.8157169117647,5.873216520866037,96.07843137254902,1320.034587189582,1141.6603190104167,18.604193607537848,58.333333333333336
1,1042,7,1049,309.68533987701767,253.44741402420343,6.642389373153347,98.0392156862745,1306.5061000173757,1133.1042887369792,18.486505566559998,58.333333333333336
1,1042,8,1050,322.0201127725689,259.87379365808823,6.8026827498030835,96.07843137254902,1269.6211518930209,1090.7357991536458,17.75950490876671,58.333333333333336
1,1042,9,1051,313.68097455654197,260.0826822916667,6.853313187530231,96.07843137254902,1163.001332230784,962.04736328125,15.522312275081616,66.66666666666666
2,2042,0,2042,286.2358607453675,230.6582462086397,6.061451225347275,94.11764705882352,1332.332873522711,1154.1087646484375,18.806534926685178,58.333333333333336
2,2042,1,2043,295.8624777045336,240.25897097120097,6.296203956413632,98.0392156862745,1288.330031226381,1108.3706461588542,18.043637636783817,58.333333333333336
2,2042,2,2044,254.41454203023306,201.13977768841912,5.278383461897835,94.11764705882352,1294.694082660769,1106.3672281901042,17.965190838572884,58.333333333333336
2,2042,3,2045,326.86208841348554,268.5751570159314,7.037789177313952,98.0392156862745,1315.3155736484748,1147.9295247395833,18.764170894428645,58.333333333333336
2,2042,4,2046,291.38193512563396,235.5492446001838,6.170652996147018,94.11764705882352,1323.5841262894276,1140.9706217447917,18.58339015247619,58.333333333333336
2,2042,5,2047,278.48321968886796,222.55439070159315,5.810653851393119,94.11764705882352,1345.792343425112,1172.3152669270833,19.137577380348937,58.333333333333336
2,2042,6,2048,277.97600362026054,231.31015912224265,6.046322703660813,96.07843137254902,1329.0565346143037,1139.427978515625,18.516878991634176,58.333333333333336
2,2042,7,2049,299.7966615199921,244.8610648360907,6.412058827715694,94.11764705882352,1342.9265353587373,1173.5273844401042,19.176995773523867,58.333333333333336
2,2042,8,2050,279.97602302180906,228.00249406403185,5.970894328761832,98.0392156862745,1272.3160604059376,1089.9742431640625,17.72571768865867,58.333333333333336
2,2042,9,2051,298.81149681363127,241.55247587316177,6.342287471718288,96.07843137254902,1281.6086997005461,1091.6339111328125,17.72070793994546,58.333333333333336
3,3042,0,3042,291.4846598829826,234.4978936887255,6.147950239661179,90.19607843137256,1087.0584283214516,854.426513671875,13.643474596240523,75.0
3,3042,1,3043,289.4712304277015,233.61920285692403,6.121432268744698,96.07843137254902,1301.1013127737567,1120.0526123046875,18.232417562237384,58.333333333333336
3,3042,2,3044,296.26130736703834,241.3834731158088,6.316212156978261,94.11764705882352,1347.6571883137187,1177.9495035807292,19.248976186000576,58.333333333333336
3,3042,3,3045,311.16538853767787,254.45451325061273,6.662886458169083,94.11764705882352,1355.1077331266824,1187.4374186197917,19.41716156481964,58.333333333333336
3,3042,4,3046,226.0367890039494,173.18357938878677,4.571093011404489,94.11764705882352,1441.0184916559365,1256.0970052083333,20.465137004130685,58.333333333333336
3,3042,5,3047,280.79364326749715,226.2235897288603,5.933886648325776,96.07843137254902,1268.753566649831,1081.594482421875,17.566008100839948,58.333333333333336
3,3042,6,3048,306.5139414655965,254.57666494332108,6.659695870999139,98.0392156862745,1293.5721103059989,1117.7014567057292,18.22152713412324,58.333333333333336
3,3042,7,3049,199.57201976149156,157.00865023743873,4.123862623195402,96.07843137254902,1451.099783061743,1274.7383219401042,20.819337226013847,58.333333333333336
3,3042,8,3050,283.9377813592977,230.63582356770834,6.0479127494127365,94.11764705882352,1315.9865883776208,1137.92724609375,18.541533326422048,58.333333333333336
3,3042,9,3051,278.65374574949885,229.8514523973652,6.068295345613207,98.0392156862745,1286.7640719225874,1093.5272216796875,17.73346006888361,66.66666666666666
4,4042,0,4042,231.82356425769564,183.09325214460785,4.824340957738495,98.0392156862745,1344.4280200781147,1153.6836751302083,18.732567372585876,58.333333333333336
4,4042,1,4043,293.4186991174892,239.2881529564951,6.30208515712124,98.0392156862745,1251.473182207988,1063.43408203125,17.262242075106737,58.333333333333336
4,4042,2,4044,306.71800564622674,247.18566176470588,6.49601055213847,98.0392156862745,1295.2216642467024,1118.3533121744792,18.22952708779673,58.333333333333336
4,4042,3,4045,271.60605561359074,216.9227606081495,5.691826281023408,96.07843137254902,1279.505563575697,1091.6788736979167,17.728420600160668,58.333333333333336
4,4042,4,4046,251.9757482884764,197.87393727022058,5.249954717954883,96.07843137254902,988.5912080903823,720.658447265625,11.361852199421122,91.66666666666666
4,4042,5,4047,277.79878314047085,221.1309503293505,5.810859319272004,94.11764705882352,1278.1366800476778,1095.0453694661458,17.80568700434493,58.333333333333336
4,4042,6,4048,298.7892547784073,243.38173062193627,6.374493926130621,94.11764705882352,1343.3983678868847,1172.5631103515625,19.15740252771927,58.333333333333336
4,4042,7,4049,304.10052131030415,250.75016276041666,6.599056241170123,98.0392156862745,1237.3632818647704,1046.1995442708333,16.95464322083723,58.333333333333336
