,RMSE,MAE,MAPE,PI_Width,CI_Coverage,PI_Overlap
mean,496.5376280517942,408.06993815104164,11.545406622116458,0.0,0.0,0.0
std,122.91073384646825,132.47144795801802,3.3679213012897704,0.0,0.0,0.0
