,RMSE,MAE,MAPE,PI_Width,CI_Coverage,PI_Overlap
mean,810.6223367423439,723.9450163554369,20.061992348715936,0.0,0.0,0.0
std,755.5987480616424,772.5200674359855,21.03975732704849,0.0,0.0,0.0
