,RMSE,MAE,MAPE,PI_Width,CI_Coverage,PI_Overlap
mean,1284.511739222263,1191.0224121093747,33.44286678476256,0.0,0.0,0.0
std,1281.9383355066748,1306.7552911473483,36.36654401928816,0.0,0.0,0.0
