True,Pred
3098,3939.0425
3416,3950.159
3721,3960.17
3608,3968.6345
3475,3975.6865
3384,3981.5034
3668,3986.3022
3624,3990.2593
3518,3993.5254
3695,3996.2344
3745,3998.4666
4044,4000.3308
4332,4001.858
4006,4003.123
4252,4004.1685
4056,4005.0327
4129,4005.7466
3950,4006.337
3980,4006.8247
4000,4007.2278
4022,4007.5608
3832,4007.8364
3820,4008.0637
4017,4008.252
4008,4008.4062
3671,4008.5352
4155,4008.6414
3922,4008.729
4079,4008.8015
4063,4008.8616
4085,4008.911
4061,4008.9514
3882,4008.985
3999,4009.0132
3692,4009.0364
3976,4009.0554
