Lookback Period,Batch Size,Epochs,LSTM RMSE,LSTM RMSE Std,LSTM MAPE,LSTM MAPE Std,SARIMA RMSE,SARIMA RMSE Std,SARIMA MAPE,SARIMA MAPE Std,LSTM Prediction Interval Lower,LSTM Prediction Interval Upper,SARIMA Prediction Interval Lower,SARIMA Prediction Interval Upper,LSTM Std,SARIMA Std
3,8,50,761.8660939603762,1152.7745716092068,16.579396295217826,27.50299216380428,271.48688159342834,0.0,4.958427267134995,8.881784197001252e-16,3054.457630462676,4040.888799687496,3631.157766758631,4583.739161357391,251.6406043940864,243.0054578058061
5,8,50,595.1261407652754,1010.032257264256,12.738041007597754,22.79521313133145,271.48688159342834,0.0,4.958427267134995,8.881784197001252e-16,3171.576165613075,4327.155482768476,3631.157766758631,4583.739161357391,294.79064213148,243.0054578058061
6,8,50,268.43014638695,75.73831441801497,5.325021100713249,1.472175888138362,271.48688159342834,0.0,4.958427267134995,8.881784197001252e-16,3654.2309805596624,4527.261170319243,3631.157766758631,4583.739161357391,222.71178310193417,243.0054578058061
7,8,50,230.67122475780928,61.03802233118307,4.562559275293208,1.2148413431140812,271.48688159342834,0.0,4.958427267134995,8.881784197001252e-16,3768.556277120052,4583.340475809636,3631.157766758631,4583.739161357391,207.8531119106085,243.0054578058061
9,8,50,462.3814131595319,709.5562042960007,9.714311351066264,15.454769183947247,271.48688159342834,0.0,4.958427267134995,8.881784197001252e-16,3346.3870343004837,4610.24724406052,3631.157766758631,4583.739161357391,322.4133188163359,243.0054578058061
11,8,50,349.35559991630606,171.06428072783095,6.7938678576264095,3.228711823748011,271.48688159342834,0.0,4.958427267134995,8.881784197001252e-16,3776.062322703989,4807.032497445752,3631.157766758631,4583.739161357391,263.00259559738817,243.0054578058061
12,8,50,489.7120474093652,616.805076786633,9.773178266599624,12.460566551854985,271.48688159342834,0.0,4.958427267134995,8.881784197001252e-16,3329.11148020361,4774.663024394371,3631.157766758631,4583.739161357391,368.76314902825584,243.0054578058061
3,8,100,332.8405140928366,16.98685210952916,6.464554916460116,0.3213534002366538,271.48688159342834,0.0,4.958427267134995,8.881784197001252e-16,3545.5575971103767,4415.759093970351,3631.157766758631,4583.739161357391,221.99017777040189,243.0054578058061
5,8,100,269.55310359352984,23.706725863918606,5.350533568336297,0.4620243702464894,271.48688159342834,0.0,4.958427267134995,8.881784197001252e-16,3644.461163277233,4494.81737676183,3631.157766758631,4583.739161357391,216.9276054807642,243.0054578058061
6,8,100,242.9718031017665,25.264467123393228,4.805418127925646,0.5420823354210251,271.48688159342834,0.0,4.958427267134995,8.881784197001252e-16,3696.750476656055,4526.925381905143,3631.157766758631,4583.739161357391,211.7793125635428,243.0054578058061
7,8,100,244.3481085566797,63.00384724508678,4.853875619627777,1.174973516392511,271.48688159342834,0.0,4.958427267134995,8.881784197001252e-16,3717.0343074069287,4557.954425503227,3631.157766758631,4583.739161357391,214.52043828987215,243.0054578058061
9,8,100,199.4717928694185,12.463504321272184,4.029195263317047,0.3202782132632659,271.48688159342834,0.0,4.958427267134995,8.881784197001252e-16,3858.315068075426,4599.231290160252,3631.157766758631,4583.739161357391,189.0092403277615,243.0054578058061
11,8,100,228.61153232046007,57.20277894857373,4.425744948006262,0.981735465952864,271.48688159342834,0.0,4.958427267134995,8.881784197001252e-16,3810.109440685829,4595.355565824588,3631.157766758631,4583.739161357391,200.31788906600988,243.0054578058061
12,8,100,441.9398471871691,621.2812686919285,8.833911245160582,12.113033258228224,271.48688159342834,0.0,4.958427267134995,8.881784197001252e-16,3802.53537633906,5154.692382450003,3631.157766758631,4583.739161357391,344.9380117629954,243.0054578058061
3,16,50,1165.317235858033,1533.1603175436503,26.145188342053103,36.12339275861477,271.48688159342834,0.0,4.958427267134995,8.881784197001252e-16,2559.9785457493317,3769.910306119776,3631.157766758631,4583.739161357391,308.65606131899074,243.0054578058061
5,16,50,427.34258174190535,270.79332088385246,8.487816665311836,5.5495255065957325,271.48688159342834,0.0,4.958427267134995,8.881784197001252e-16,3369.3373320602427,4466.374146618143,3631.157766758631,4583.739161357391,279.8563302443625,243.0054578058061
6,16,50,335.1614894283361,347.8561103087487,6.44486720890905,6.477260228693915,271.48688159342834,0.0,4.958427267134995,8.881784197001252e-16,3515.781607694461,4605.712781140175,3631.157766758631,4583.739161357391,278.0436666953352,243.0054578058061
7,16,50,1895.8339751458147,1849.438537536022,43.292041085077,43.73875174124039,271.48688159342834,0.0,4.958427267134995,8.881784197001252e-16,1642.680326643458,3245.462416841218,3631.157766758631,4583.739161357391,408.8729821933061,243.0054578058061
