County,State,County-State,census_division,population_total,female_pct,median_age,under18_pct,over65_pct,white_pct,black_pct,aian_pct,asian_pct,nhpi_pct,otherrace_pct,hispanic_pct,poverty_pct,area_sqmi,pop_sqmi,nonenglish,customer,too_small,region,vlarge,large,vsmall,vblack,vhispanic,vnonenglish,dense,sparse,poor,group,RANDOM,group_rank
Alamosa County, Colorado,"Alamosa County, Colorado",8,16107,50,31.8,24.4,13.2,88.9,1.4,4.7,2,0.5,5.6,46.8,23.5,722.645,22,30.1,0,1,,0,0,1,0,1,0,0,1,1,NA,0.224,1635
Albany County, New York,"Albany County, New York",2,306968,51.6,37.8,18.5,16.5,79,15.2,1,7.5,0.1,1.7,6,11.9,522.888,587,13.2,0,0,northeast,0,0,0,0,0,0,0,0,0,other,0.587,37
Albany County, Wyoming,"Albany County, Wyoming",8,38390,48.1,27.6,16.2,11.3,92.5,2.5,1.5,4.7,0.1,2,9.5,20.7,4274.327,9,10.8,0,1,,0,0,1,0,0,0,0,1,1,NA,0.803,432
Albemarle County, Virginia,"Albemarle County, Virginia",5,107405,52.2,39.1,20.2,18,83.9,10.6,0.6,6.3,0.1,1,5.8,9.1,720.472,149,11.7,0,0,south,0,0,0,0,0,0,0,1,0,sparse,0.591,78
Alcona County, Michigan,"Alcona County, Michigan",3,10353,49.4,58.2,13,35.8,98.4,0.8,1.3,0.6,0.1,0.5,1.5,17,674.655,15,2.2,0,1,,0,0,1,0,0,0,0,1,1,NA,0.132,1840
Alcorn County, Mississippi,"Alcorn County, Mississippi",6,37090,50.9,39.7,23.3,18.2,86.2,13.2,0.7,0.5,0,1.2,3.2,15,400.044,93,2.7,0,1,,0,0,1,0,0,0,0,1,1,NA,0.62,775
Aleutians East Borough, Alaska,"Aleutians East Borough, Alaska",9,3385,39.9,42.5,14.3,9.4,23,5,54.8,21.1,1.1,4.8,9,13.8,6985.234,0,33.8,0,1,,0,0,1,0,0,1,0,1,1,NA,0.24,1597
Aleutians West Census Area, Alaska,"Aleutians West Census Area, Alaska",9,5698,40.7,38.6,17.2,6.1,33.4,4.6,14.1,45,4.1,8,14.1,6.8,4393.026,1,58.2,0,1,,0,0,1,0,0,1,0,1,0,NA,0.725,574
Alexander County, Illinois,"Alexander County, Illinois",3,6260,52.2,45.3,23.3,21.3,65,35.3,0.6,0,0.6,0.4,1.3,25.3,235.394,27,0.8,0,1,,0,0,1,1,0,0,0,1,1,NA,0.35,1373
Alexander County, North Carolina,"Alexander County, North Carolina",5,37213,49.1,43.7,20.3,19.5,88.9,6.8,0.6,1.2,0.1,3.8,4.7,13.6,259.985,143,6,0,1,,0,0,1,0,0,0,0,1,1,NA,0.568,882
Alexandria city, Virginia,"Alexandria city, Virginia",5,157613,51.8,36.8,18.2,11.3,66.9,24,1,8.2,0.2,5.6,16.7,10.3,14.935,10553,33.5,0,0,south,0,0,0,0,0,1,1,0,0,vnonenglish,0.658,8
Alfalfa County, Oklahoma,"Alfalfa County, Oklahoma",7,5847,39.6,44.2,19.2,19.2,90.6,4.4,8.1,0,0.2,3.8,5.6,9.1,866.565,7,5.5,0,1,,0,0,1,0,0,0,0,1,0,NA,0.78,476
Alger County, Michigan,"Alger County, Michigan",3,9151,44.5,49.5,15.1,24.7,88.5,7.8,6.6,0.4,0,0.3,1.6,11.2,915.034,10,1.5,0,1,,0,0,1,0,0,0,0,1,0,NA,0.546,938
Allamakee County, Iowa,"Allamakee County, Iowa",4,13813,49.5,44.4,23.1,22.3,97.5,1.5,0.5,0.6,0.3,0.5,6.6,11,639.044,22,11.3,0,1,,0,0,1,0,0,0,0,1,0,NA,0.06,2018
Allegan County, Michigan,"Allegan County, Michigan",3,116143,50,39.8,24.4,16.1,96,2.3,1.4,1,0.1,1.9,7.3,10.4,825.253,141,6,0,0,midwest,0,0,0,0,0,0,0,1,0,sparse,0.35,127
Allegany County, Maryland,"Allegany County, Maryland",5,71445,47.7,41.7,17.4,19.8,90.3,9.7,0.6,1.4,0.1,0.5,1.8,16.5,422.199,169,4,0,0,south,0,0,1,0,0,0,0,1,1,vsmall,0.686,122
Allegany County, New York,"Allegany County, New York",2,46688,49.3,39.1,20.2,18.4,96.5,1.9,0.6,1.6,0.2,0.5,1.6,16.9,1029.435,45,4.9,0,1,,0,0,1,0,0,0,0,1,1,NA,0.965,80
Alleghany County, North Carolina,"Alleghany County, North Carolina",5,11008,50.9,50.1,17.4,26.5,95.9,2.6,0.4,0.6,0,1,9.7,23.4,234.835,47,7.6,0,1,,0,0,1,0,0,0,0,1,1,NA,0.934,142
Alleghany County, Virginia,"Alleghany County, Virginia",5,15157,51.4,48.1,18.9,23.8,93.6,6.5,0.5,0.2,0,0.7,1.5,19.7,446.572,34,1.8,0,1,,0,0,1,0,0,0,0,1,1,NA,0.359,1356
Allegheny County, Pennsylvania,"Allegheny County, Pennsylvania",2,1221744,51.7,40.8,18.8,18.5,82.4,14.8,0.7,4.5,0.1,0.7,2.1,11.6,729.954,1674,7.5,0,0,northeast,0,1,0,0,0,0,1,0,0,large,0.328,22
Allen County, Indiana,"Allen County, Indiana",3,372575,51.1,35.9,25.8,14.2,82.3,13.9,0.9,4.5,0.1,2.2,7.5,13.3,657.3,567,11.1,0,0,midwest,0,0,0,0,0,0,0,0,1,poor,0.735,14
Allen County, Kansas,"Allen County, Kansas",4,12556,50.5,41.9,22.6,20.2,97.4,3.4,2.4,0.9,0.3,0.6,3.6,17.7,500.297,25,2.4,0,1,,0,0,1,0,0,0,0,1,1,NA,0.347,1379
Allen County, Kentucky,"Allen County, Kentucky",6,20944,50.1,40.7,23.8,17.3,98.1,2,0,0.6,0.4,0.5,2.2,18.7,344.341,61,6.4,0,1,,0,0,1,0,0,0,0,1,1,NA,0.518,1000
Allen County, Ohio,"Allen County, Ohio",3,103175,49.6,39.2,23.2,17.2,85.8,14.5,0.8,1.2,0,1.4,3.1,13.9,402.545,256,3.1,0,0,midwest,0,0,0,0,0,0,0,1,1,sparse,0.237,149
Allen Parish, Louisiana,"Allen Parish, Louisiana",7,25618,43.2,38.2,22.4,14.7,76.4,20.3,3.2,0.9,0,2.1,6.2,14.5,762.084,34,9.9,0,1,,0,0,1,0,0,0,0,1,1,NA,0.034,2074
Allendale County, South Carolina,"Allendale County, South Carolina",5,9024,46.5,41.9,18.8,19.7,23.8,74.2,0.6,0.2,0,1.9,3.3,25,408.095,22,4,0,1,,0,0,1,1,0,0,0,1,1,NA,0.056,2026
Alpena County, Michigan,"Alpena County, Michigan",3,28520,50.7,48.1,18.7,22.7,98.1,1,1.1,0.8,0.3,0.2,1.4,14.3,571.897,50,3,0,1,,0,0,1,0,0,0,0,1,1,NA,0.372,1326
Alpine County, California,"Alpine County, California",9,1039,46.7,52.2,19.3,29.9,62.6,0.9,39.1,1.5,0.6,1.1,12.5,19.7,738.34,1,9.7,0,1,,0,0,1,0,0,0,0,1,1,NA,0.167,1748
Amador County, California,"Amador County, California",9,38429,46.3,50.5,15.2,26.7,91,3,3.9,2.5,0.4,4.2,13.9,9.9,594.584,65,10.6,0,1,,0,0,1,0,0,0,0,1,0,NA,0.302,1473
Amelia County, Virginia,"Amelia County, Virginia",5,12953,49.2,45.1,21.4,19.2,78.6,23,1.1,0.8,0,0,3,10.7,355.36,36,3.8,0,1,,0,0,1,0,0,0,0,1,0,NA,0.713,596
Amherst County, Virginia,"Amherst County, Virginia",5,31775,51.9,44.8,19.6,20.6,79.3,20.2,1.5,1.1,0.1,1,2.4,14,473.962,67,2.8,0,1,,0,0,1,0,0,0,0,1,1,NA,0.611,797
Amite County, Mississippi,"Amite County, Mississippi",6,12412,51.6,47.1,20.7,22.8,57.6,42.1,0.1,0.2,0,0.2,0,26.7,730.1,17,1,0,1,,0,0,1,1,0,0,0,1,1,NA,0.317,1443
Anchorage Municipality, Alaska,"Anchorage Municipality, Alaska",9,293531,49,33.6,24.5,10.5,71,7.8,13,12.4,3.3,2.9,9.2,9,1706.886,172,17.8,0,0,west,0,0,0,0,0,0,0,1,0,sparse,0.017,188
Anderson County, Kansas,"Anderson County, Kansas",4,7835,50.3,40.8,26,21.1,97.4,1,2.3,0,0,0,1.9,15,579.641,14,2.2,0,1,,0,0,1,0,0,0,0,1,1,NA,0.606,810
Anderson County, Kentucky,"Anderson County, Kentucky",6,22409,51,41.4,23.9,15.4,96.7,3.6,0.6,0.3,0,0.2,1.8,15.7,202.168,111,2.2,0,1,,0,0,1,0,0,0,0,1,1,NA,0.039,2060
Anderson County, South Carolina,"Anderson County, South Carolina",5,198064,51.8,40.8,23,17.7,81.9,17.3,0.7,1.2,0.1,1.2,3.8,14.6,713.855,277,4.5,0,0,south,0,0,0,0,0,0,0,1,1,sparse,0.198,155
Anderson County, Tennessee,"Anderson County, Tennessee",6,76061,51.2,43.3,21.2,19.7,93.4,4.9,1.2,1.7,0.3,1.3,2.9,16.7,337.203,226,4.8,0,0,south,0,0,1,0,0,0,0,1,1,vsmall,0.261,293
Anderson County, Texas,"Anderson County, Texas",7,57810,39.1,39.3,19.5,14.3,74.4,21.7,1,0.8,0.2,3.5,17.8,14.9,1062.617,54,14.8,0,0,south,0,0,1,0,0,0,0,1,1,vsmall,0.442,223
Andrew County, Missouri,"Andrew County, Missouri",4,17503,50.1,42.4,23.1,18.7,97,2.4,0.5,0.7,0.8,0.5,2.5,7.9,432.632,40,2.4,0,1,,0,0,1,0,0,0,0,1,0,NA,0.313,1446
Andrews County, Texas,"Andrews County, Texas",7,18036,49.1,30.8,31.5,10,92.7,2.7,0,0.9,0.2,6.9,56.3,9.2,1500.721,12,43.7,0,1,,0,0,1,0,1,0,0,1,0,NA,0.469,1116
Androscoggin County, Maine,"Androscoggin County, Maine",1,107602,51.1,41,21.8,17.3,96.2,3.4,3.9,1.4,0.1,0.5,1.9,11.8,467.953,230,10.4,0,0,northeast,0,0,0,0,0,0,0,1,0,sparse,0.253,144
Angelina County, Texas,"Angelina County, Texas",7,87322,51.2,37.5,25.7,15.9,81.3,15.7,1.4,1.2,0,2.4,22.1,17.7,797.865,109,18.5,0,0,south,0,0,1,0,0,0,0,1,1,vsmall,0.443,221
Anne Arundel County, Maryland,"Anne Arundel County, Maryland",5,571275,50.5,38.3,22.4,14.4,76.4,18.9,1.1,5.2,0.3,2.7,7.8,5.8,414.81,1377,11.4,0,0,south,0,0,0,0,0,0,1,0,0,dense,0.621,17
Anoka County, Minnesota,"Anoka County, Minnesota",4,350253,50,38.5,24,13.5,86.7,7.8,1.6,5.4,0.1,2,4.6,5.9,421.964,830,11.5,0,0,midwest,0,0,0,0,0,0,0,0,0,other,0.349,65
Anson County, North Carolina,"Anson County, North Carolina",5,24902,47.6,40.9,19.4,17.9,48.7,49.3,1.3,1.5,0.1,0.6,4,19.5,531.461,47,5.3,0,1,,0,0,1,1,0,0,0,1,1,NA,0.231,1624
Antelope County, Nebraska,"Antelope County, Nebraska",4,6341,49.8,44.9,23.5,22.9,97.7,1.2,0.2,0.3,0,1.1,3.3,11.1,857.157,7,4.1,0,1,,0,0,1,0,0,0,0,1,0,NA,0.24,1600
Antrim County, Michigan,"Antrim County, Michigan",3,23206,50.1,51.3,18.3,26.7,97.5,0.8,1.8,0.4,0.2,0.8,2.3,11,475.679,49,2.3,0,1,,0,0,1,0,0,0,0,1,0,NA,0.254,1568
Apache County, Arizona,"Apache County, Arizona",8,71511,50.8,35,27.3,15,24.1,1.1,74.9,0.7,0.2,1,6.3,35.5,11198.311,6,53.8,0,0,west,0,0,1,0,0,1,0,1,1,vsmall,0.581,157
Appanoose County, Iowa,"Appanoose County, Iowa",4,12452,50.7,45.7,21.9,22.7,98.5,1.6,0.5,0.8,0,0.1,2,17.7,497.299,25,2.9,0,1,,0,0,1,0,0,0,0,1,1,NA,0.63,751
Appling County, Georgia,"Appling County, Georgia",5,18440,49.5,40.3,24.8,16.8,75.4,20,0.6,0.4,0,4.5,9.9,22.5,508.254,36,10.6,0,1,,0,0,1,0,0,0,0,1,1,NA,0.79,456
Appomattox County, Virginia,"Appomattox County, Virginia",5,15707,51.6,42.6,21.3,20.3,79.9,20.8,0.5,0.3,0,0.3,1.7,13.2,334.224,47,1.7,0,1,,0,0,1,0,0,0,0,1,1,NA,0.546,936
Aransas County, Texas,"Aransas County, Texas",7,24462,51.3,50.6,18.8,27.4,94.4,2.3,3.1,2.6,0,2.1,27.5,21.3,252.069,97,19.9,0,1,,0,0,1,0,0,0,0,1,1,NA,0.33,1412
Arapahoe County, Colorado,"Arapahoe County, Colorado",8,644560,50.5,36.6,23.8,12.7,75.3,12.7,1.8,7.6,0.5,7,19.2,8.1,797.856,808,23.4,0,0,west,0,0,0,0,0,0,0,0,0,other,0.265,77
Archer County, Texas,"Archer County, Texas",7,8716,50.1,44.5,21.7,19.5,97.3,1.3,2.3,0.5,0,0.5,8.3,11.9,903.289,10,5.7,0,1,,0,0,1,0,0,0,0,1,0,NA,0.824,395
Archuleta County, Colorado,"Archuleta County, Colorado",8,13253,49.8,50.9,17.4,25.5,85.3,1.9,2,1.2,0.6,10.6,18.4,8.8,1350.088,10,8.7,0,1,,0,0,1,0,0,0,0,1,0,NA,0.96,91
Arenac County, Michigan,"Arenac County, Michigan",3,15070,49.3,50,18.1,24.3,97.7,0.9,2.1,0.6,0,0.3,2,17.1,363.178,41,1.8,0,1,,0,0,1,0,0,0,0,1,1,NA,0.766,501
Arkansas County, Arkansas,"Arkansas County, Arkansas",7,17914,52.2,40.7,22.9,19,72.9,27,0.6,0.1,0,0.6,3.2,17.3,992.141,18,2,0,1,,0,0,1,0,0,0,0,1,1,NA,0.307,1460
Arlington County, Virginia,"Arlington County, Virginia",5,233464,50,34.7,17.8,10.5,74.9,10.2,0.9,12.6,0.3,5.2,15.6,6.8,25.997,8980,29.7,0,0,south,0,0,0,0,0,1,1,0,0,vnonenglish,0.128,29
Armstrong County, Pennsylvania,"Armstrong County, Pennsylvania",2,65867,50.3,46.6,19.2,21.6,98.8,1.4,0.3,0.4,0,0.2,0.8,11.1,653.321,101,2.5,0,0,northeast,0,0,1,0,0,0,0,1,0,vsmall,0.202,317
Armstrong County, Texas,"Armstrong County, Texas",7,1973,50.2,46,23.1,21.5,96.5,1.6,1.5,0,0,4,7.6,9.2,909.123,2,6.4,0,1,,0,0,1,0,0,0,0,1,0,NA,0.567,885
Aroostook County, Maine,"Aroostook County, Maine",1,67809,50.5,48,18.4,23.4,96.5,1.5,2.8,0.7,0.1,0.2,1.2,16.1,6671.087,10,15,0,0,northeast,0,0,1,0,0,1,0,1,1,vsmall,0.236,300
Arthur County, Nebraska,"Arthur County, Nebraska",4,427,52.5,45.5,27.9,25.1,98.8,0.5,3.3,0,0,0.5,0.5,13.3,715.152,1,5.1,0,1,,0,0,1,0,0,0,0,1,1,NA,0.301,1476
Ascension Parish, Louisiana,"Ascension Parish, Louisiana",7,123114,50.6,35.7,27,11.4,75,23.8,1.1,1.5,0.3,2,5.6,10.6,289.969,425,6.1,0,0,south,0,0,0,0,0,0,0,0,0,other,0.134,91
