True,Pred
2822,3954.744
2850,3960.239
2634,3987.766
2734,4000.9543
2810,4012.9739
2925,4024.1677
2970,4033.3108
2739,4041.1267
2718,4047.8237
3098,4053.5125
3416,4058.3574
3721,4062.4836
3608,4065.9954
3475,4068.9844
3384,4071.5273
3668,4073.6921
3624,4075.5334
3518,4077.1
3695,4078.433
3745,4079.567
4044,4080.531
4332,4081.351
4006,4082.049
4252,4082.642
4056,4083.147
4129,4083.5762
3950,4083.9412
3980,4084.2515
4000,4084.5156
4022,4084.7405
3832,4084.9312
3820,4085.0938
4017,4085.2314
4008,4085.3494
3671,4085.449
4155,4085.5334
3922,4085.606
4079,4085.6672
4063,4085.7192
4085,4085.7644
4061,4085.8022
3882,4085.8347
3999,4085.8616
3692,4085.885
3976,4085.9045
