,RMSE,MAE,MAPE,PI_Width,CI_Coverage,PI_Overlap
mean,569.0608744920285,496.3620248647836,13.39276339925826,0.0,0.0,0.0
std,213.48499850434715,222.64196054841497,5.711771258571386,0.0,0.0,0.0
