,train_mean_rmse,train_std_rmse,test_mean_rmse,test_std_rmse,train_mean_mape,train_std_mape,test_mean_mape,test_std_mape,trials_completed
42,210.9059,21.8716,1771.7754,60.7407,4.1193,0.5185,26.7131,1.1228,30.0
123,207.1955,4.0861,1761.0572,37.8953,4.0338,0.0835,26.5112,0.6907,30.0
456,210.426,14.9254,1760.6076,59.6822,4.1116,0.3415,26.513,1.1027,30.0
789,211.485,14.482,1752.9109,82.2761,4.1573,0.3605,26.3676,1.4949,30.0
1000,207.418,6.8608,1748.9948,58.9874,4.0474,0.2007,26.2896,1.0685,30.0
