,RMSE,MAE,MAPE,PI_Width,CI_Coverage,PI_Overlap
mean,553.8008000079016,445.4192724609375,13.386195146293556,0.0,0.0,0.0
std,69.83240505225358,68.30760008082967,1.7606917818522552,0.0,0.0,0.0
