True,Pred
4462,4789.036
4642,4710.895
4369,4771.68
4672,4638.45
4661,4734.1865
4655,4770.2876
4716,4808.746
4377,4834.2397
4484,4690.181
4911,4658.687
5218,4838.751
5759,5113.2573
5456,5512.695
5359,5559.9487
5305,5512.1294
5769,5416.383
5565,5606.264
5367,5626.71
5633,5546.587
5664,5588.9697
6082,5645.9536
6505,5890.0654
5813,6205.9126
6379,6054.523
6091,6197.456
6219,6112.399
6052,6178.2783
6105,6091.811
6030,6090.7173
5969,6045.172
5707,6004.0723
5681,5853.292
6052,5761.8584
5904,5891.3247
5426,5917.316
6005,5706.6553
5766,5829.582
5946,5802.383
5981,5907.796
6104,5937.6025
5991,6031.265
5670,6016.1416
5709,5852.577
5416,5768.3438
5793,5593.807
5750,5698.535
5399,5736.541
6123,5614.775
5730,5855.3735
6015,5813.0996
5989,5947.898
6333,5954.6084
6388,6151.357
6048,6265.7197
6322,6170.6323
6405,6216.5703
6523,6279.4106
