,RMSE,MAE,MAPE,PI_Width,CI_Coverage,PI_Overlap
mean,466.0683957344297,365.5672053639481,10.60659414537264,0.0,0.0,0.0
std,69.30727201650033,73.63051829171484,1.8563988557158908,0.0,0.0,0.0
