,RMSE,MAE,MAPE,PI_Width,CI_Coverage,PI_Overlap
mean,463.040412133293,368.13494982215445,10.621160858719918,0.0,0.0,0.0
std,71.95004330470105,71.2440469426651,1.9376577425149162,0.0,0.0,0.0
