,RMSE,MAE,MAPE,PI_Width,CI_Coverage,PI_Overlap
mean,593.3015699986091,473.86901511863437,14.194931795593027,0.0,0.0,0.0
std,144.08720651817708,145.69999277551142,3.825655711568546,0.0,0.0,0.0
