,RMSE,MAE,MAPE,PI_Width,CI_Coverage,PI_Overlap
mean,635.7708450418808,525.3148030598958,15.587790137910021,0.0,0.0,0.0
std,254.89644135731612,265.8539745171777,7.541322599530919,0.0,0.0,0.0
