,RMSE,MAE,MAPE,PI Width,CI Coverage,PI Overlap
mean,18223.081094180165,13765.061100260416,352.6135737801985,0.0,0.0,0.0
std,12848.86588152085,8965.339246020303,227.85935434286685,0.0,0.0,0.0
