order,seasonal_order,AIC,BIC,MAE,RMSE
"(1, 0, 2)","(0, 1, 1)",21519.071517270713,21548.031197055403,65.4100165840174,87.99799863808434
"(1, 0, 2)","(1, 1, 1)",21521.06608403008,21555.81769977171,65.41004854323472,87.99960663217621
"(1, 0, 1)","(1, 1, 2)",21427.93326007243,21462.65755223134,65.38010340693876,88.01946209109289
"(2, 0, 2)","(0, 1, 1)",21520.392624891905,21555.144240633534,65.41110877089625,88.0288091780851
"(2, 0, 2)","(1, 1, 1)",21522.387575157813,21562.93112685638,65.41112341533878,88.03077078034642
"(1, 0, 1)","(0, 1, 2)",21433.611111191818,21462.54802132424,65.43909103695489,88.06704573914278
"(1, 0, 1)","(2, 1, 1)",21442.19515963972,21476.921940908807,65.44324301466905,88.07965510630021
"(1, 0, 1)","(2, 1, 2)",21425.823010995642,21466.334685181035,65.37775421062221,88.0824972667228
"(1, 0, 1)","(0, 1, 1)",21527.4187676568,21550.58816335325,65.4178202755343,88.11421983497898
"(1, 0, 1)","(1, 1, 1)",21529.415146306324,21558.37689092689,65.4178718299566,88.11532217887182
"(1, 0, 2)","(2, 2, 2)",21494.40487680244,21540.660662677914,65.2872085118233,88.13800538739963
"(2, 0, 1)","(2, 2, 2)",21493.132527417674,21539.391650102374,65.26605171162528,88.386172496779
"(2, 0, 1)","(1, 2, 2)",21532.18590274231,21572.66263509142,65.20830014751319,88.71052847476057
"(0, 0, 2)","(2, 0, 1)",23534.352859186587,23569.11190526972,64.65676055845269,88.80101650485942
"(2, 0, 1)","(0, 2, 2)",21522.164500958366,21556.85884297189,65.05906419830364,90.02652355460167
"(2, 0, 2)","(1, 2, 1)",22400.995231730456,22441.50400074876,64.54291236911149,90.11550882788589
"(2, 2, 0)","(2, 0, 1)",22337.787135092265,22372.536272007168,68.11118780734151,97.24900730480829
"(2, 2, 0)","(1, 0, 2)",22345.84961066572,22380.601226407347,67.89731611268267,97.49621952704744
"(1, 2, 0)","(2, 0, 1)",22704.99857472094,22733.95825450563,67.2864874633314,99.12746135461283
"(2, 2, 2)","(1, 2, 1)",22509.813955535137,22550.31691059962,76.11475638651555,105.51684662803332
"(0, 2, 2)","(1, 2, 1)",22506.107431469325,22535.03811365824,75.90193617029836,105.54547508870928
"(2, 0, 0)","(1, 2, 2)",21480.120828103394,21514.817671680434,70.83713407499881,105.64645675935363
"(2, 2, 1)","(1, 2, 1)",22518.444429771815,22553.163740610387,76.65673257944961,105.70356888638489
"(1, 2, 1)","(1, 2, 1)",22518.733011840857,22547.665770873,77.57542707016667,105.85364952279046
"(0, 2, 1)","(1, 2, 1)",22617.257090666317,22640.403297892033,78.53143383836844,106.3543428402027
"(1, 0, 1)","(2, 2, 2)",21495.151030744153,21535.627763093264,72.83732340675928,107.7476199731423
"(2, 0, 0)","(2, 2, 2)",21642.847125815155,21683.323858164265,72.33662071910273,108.51120429594248
"(2, 2, 0)","(2, 0, 2)",22334.26873728572,22374.809397019777,90.63310812372244,110.39126745572268
"(1, 2, 2)","(2, 2, 1)",22747.14029001331,22787.614102654352,73.24040037524432,110.51062441783235
"(1, 2, 1)","(2, 2, 1)",22149.488501185,22184.180340591603,74.15058589535954,111.26134709901048
"(2, 2, 2)","(2, 2, 1)",22113.115798534523,22159.368246208407,74.62021177006972,111.76391633346114
"(0, 1, 0)","(0, 2, 1)",23279.50688855106,23291.08165260403,74.83166952855628,111.99019767680224
"(0, 2, 2)","(2, 2, 1)",22159.818254779482,22194.512596793007,74.99598771039439,112.14425204101951
"(0, 2, 1)","(0, 1, 0)",23428.984333605127,23440.5772720913,74.97952030305562,112.14908041577877
"(0, 2, 1)","(2, 2, 1)",22243.89440822949,22272.806359907427,75.17398718977904,112.32287744662084
"(2, 2, 2)","(0, 1, 0)",23188.764059462574,23217.744349334153,75.19910151168408,112.36090937181869
"(1, 2, 1)","(0, 1, 0)",23305.80583825834,23323.195245987597,76.94560130505215,114.02605892964321
"(1, 1, 0)","(0, 2, 1)",23159.226352296384,23176.588498375837,77.00720756600792,114.06923156001655
"(1, 2, 2)","(1, 2, 0)",24684.772607522027,24713.707442535102,84.50850574693683,114.53579934730519
"(1, 1, 2)","(2, 0, 2)",21508.64615374861,21554.978336301818,78.79156788626561,115.89525856382447
"(2, 1, 2)","(2, 0, 2)",21510.349936816132,21562.473642188488,78.7965062830912,115.89998783680542
"(0, 1, 2)","(2, 0, 2)",21507.962371861016,21548.50303159507,78.82192419060065,115.92346177512353
"(1, 1, 1)","(2, 0, 2)",21515.844610214408,21556.388161912975,78.82485227144704,115.92632581242756
"(2, 1, 0)","(2, 0, 2)",21516.062555318742,21556.60610701731,78.83200921112378,115.93303232080098
"(0, 1, 1)","(2, 0, 2)",21515.40692178606,21550.158537527688,78.83483133077239,115.9355290687805
"(1, 1, 0)","(2, 0, 2)",21522.888551385447,21557.642644930125,78.89730869260704,115.99408154741587
"(2, 1, 2)","(2, 0, 1)",21521.94404729391,21568.279534949415,79.15691064393617,116.22579264691508
"(1, 1, 2)","(2, 0, 1)",21528.63204255572,21569.178485024513,79.18914986938246,116.25599719704122
"(2, 1, 0)","(2, 0, 1)",21519.343938813505,21554.095554555133,79.19903785797891,116.26523204111403
"(0, 1, 1)","(2, 0, 1)",21535.18272856846,21564.146537172543,79.21259989207284,116.27790047523611
"(1, 1, 1)","(2, 0, 1)",21527.2783652075,21562.03245875218,79.21382021329907,116.27906828358427
"(0, 1, 2)","(2, 0, 1)",21535.919636266473,21570.67620659137,79.22981405127112,116.29405158354123
"(2, 1, 2)","(1, 0, 2)",21513.865288244077,21560.197470797284,79.30231324046814,116.3608125887375
"(1, 1, 2)","(1, 0, 2)",21512.03001676171,21552.570676495765,79.30633510028991,116.36459068904293
"(1, 1, 0)","(2, 0, 1)",21526.505533884352,21555.46727850492,79.31676645697142,116.37550053502969
"(0, 1, 2)","(1, 0, 2)",21511.28696354777,21546.036100462672,79.32536410831901,116.38243210744231
"(0, 1, 1)","(1, 0, 2)",21518.906550737185,21547.866230521875,79.33835646149473,116.39457684781624
"(1, 1, 1)","(1, 0, 2)",21519.345686922323,21554.09730266395,79.3492101720066,116.40479561862631
"(2, 1, 0)","(1, 0, 2)",21527.761039432233,21562.51513297691,79.40130018314615,116.4536671124234
"(1, 1, 0)","(1, 0, 2)",21526.63189524729,21555.593639867857,79.46881634947785,116.51704264110089
"(2, 0, 2)","(2, 2, 2)",22457.45941684708,22509.49717595699,79.89360923070944,116.83511610174871
"(0, 1, 0)","(2, 0, 2)",21641.246328173936,21670.208072794503,80.11502869215542,117.13713731517186
"(1, 2, 2)","(1, 1, 2)",21540.589433092355,21581.092388156838,82.06815315754665,117.50329222374596
"(0, 0, 0)","(0, 1, 2)",26372.71386541958,26390.077256054123,80.65481400295107,117.6451692312772
"(2, 2, 1)","(2, 0, 2)",21518.412871551907,21564.745054105115,80.77194794661085,117.81935747888106
"(1, 2, 1)","(2, 0, 2)",21517.07183093919,21557.612490673244,80.79998453525042,117.84669782275355
"(2, 2, 2)","(2, 0, 2)",21511.992017665867,21564.112003261358,80.98283644928374,118.026796998483
"(1, 2, 2)","(2, 0, 2)",21510.355914509313,21556.684790594194,81.0536079169086,118.09157830977838
"(0, 2, 2)","(2, 0, 2)",21509.682320483575,21550.220087057845,81.27151810655816,118.29024695713011
"(2, 2, 1)","(0, 1, 0)",23305.238793778837,23328.42467075118,81.69610321864904,118.48391941250983
"(0, 2, 2)","(1, 0, 2)",21513.03110953439,21547.77776659805,81.63526577487713,118.59673614278204
"(2, 2, 2)","(1, 0, 2)",21515.53147897174,21561.860355056622,81.69659088260242,118.6470796280511
"(2, 2, 2)","(2, 1, 0)",22131.974592253777,22172.480454898778,81.77919265882225,118.6703346874381
"(2, 1, 0)","(0, 2, 1)",23158.459393975925,23181.608922081865,81.96821774659793,118.71552895186365
"(1, 1, 2)","(0, 2, 1)",23140.414720498447,23169.347479530592,82.0548455596398,118.79443691097194
"(0, 1, 0)","(2, 0, 1)",21653.960083313537,21677.1311301968,81.97303936018116,118.90538225951786
"(0, 1, 0)","(1, 0, 2)",21645.418423182244,21668.587818878696,82.00311442877623,118.93353086726147
"(0, 0, 2)","(0, 1, 1)",23912.523023362377,23935.690767190128,82.22255708148033,119.11992104192664
"(1, 0, 1)","(2, 0, 2)",21514.1079958804,21554.654438349193,82.15991825799955,119.13136797728693
"(1, 0, 2)","(2, 0, 2)",21506.70400827905,21553.039495934558,82.21310690504158,119.17969881419428
"(2, 0, 2)","(2, 0, 2)",21507.579994767795,21559.707418380236,82.21474349858306,119.18112514056008
"(2, 0, 1)","(2, 0, 2)",21514.374647486467,21560.71343887937,82.21502375736587,119.18128859818971
"(0, 0, 0)","(1, 1, 1)",26511.943479826812,26529.32176498926,82.27757182446315,119.19526399811001
"(2, 0, 0)","(2, 0, 2)",21513.30856209248,21553.855004561272,82.2756306731278,119.2361304548854
"(2, 2, 1)","(1, 0, 2)",21521.837103695245,21562.3777634293,82.47651808382153,119.25949549169263
"(2, 1, 2)","(0, 2, 1)",23141.59477116332,23176.314082001893,82.61038668867988,119.27930819431364
"(1, 2, 1)","(1, 0, 2)",21520.696910871542,21555.446047786445,82.56632190237646,119.3317150748376
"(1, 0, 1)","(2, 0, 1)",21525.06678726028,21559.823357585177,82.47741444028107,119.40810047711055
"(2, 0, 2)","(2, 0, 1)",21518.03288232707,21564.371673719972,82.4959275546723,119.42508992856496
"(1, 0, 1)","(1, 0, 2)",21517.201291248817,21551.955384793495,82.50770464782913,119.43464937069271
"(1, 0, 2)","(2, 0, 1)",21525.182327270893,21565.73165931661,82.51338816929083,119.44086426103759
"(2, 0, 2)","(1, 0, 2)",21509.89512688032,21556.230614535827,82.52315418945045,119.44888199170049
"(2, 0, 1)","(2, 0, 1)",21516.866764437866,21557.413206906658,82.52499175630687,119.45128748412696
"(1, 0, 2)","(1, 0, 2)",21509.257279570815,21549.800831269382,82.53588631675935,119.46045207936173
"(2, 0, 0)","(2, 0, 1)",21515.35530037015,21550.109393914827,82.53926609913272,119.4643392295403
"(2, 0, 1)","(1, 0, 2)",21516.887357899246,21557.43380036804,82.54089893641816,119.46493971471044
"(0, 2, 1)","(2, 0, 2)",21634.700778642822,21669.449915557725,82.69776650314641,119.4810326132396
"(2, 0, 0)","(1, 0, 2)",21523.45328544655,21558.20985577145,82.56930577132874,119.4906456719425
"(0, 0, 2)","(1, 1, 0)",23978.123642851097,24001.296340239853,82.64361532732462,119.54555371906461
"(2, 0, 1)","(2, 1, 0)",22128.824959216297,22163.549251375207,82.6722135470878,119.55719785609003
"(0, 2, 0)","(0, 0, 2)",23787.251696994113,23804.627504864926,82.67778571742947,119.5607466056792
"(2, 0, 2)","(2, 1, 0)",22130.964975647876,22171.47664983327,82.67681312856696,119.56145561355177
"(1, 0, 2)","(2, 1, 0)",22137.3182052325,22172.044986501587,82.67731731504456,119.5619200803785
"(0, 0, 2)","(2, 1, 0)",23845.85301560278,23874.794073392015,82.67013785096164,119.56748498304941
"(0, 2, 0)","(1, 1, 0)",24778.636593371983,24790.22129122021,82.68594869343374,119.56853439903824
"(0, 2, 0)","(2, 1, 0)",24344.33544581731,24361.697591896762,82.68715299260548,119.57131389000948
"(0, 1, 0)","(1, 1, 0)",22662.512100589127,22674.09762403076,82.68993644618257,119.57253536137678
"(1, 1, 0)","(1, 1, 0)",22554.70635895134,22572.08340572368,82.69205550652073,119.57465773105608
"(0, 1, 0)","(2, 1, 0)",22268.077283762144,22285.440674396687,82.69106813384263,119.5750317422792
"(1, 0, 0)","(1, 1, 0)",22566.53746046969,22583.91574563214,82.69407450233972,119.57667768084636
"(1, 1, 0)","(2, 1, 0)",22174.34544249982,22197.49497060576,82.69300768218628,119.57687689868564
"(1, 0, 0)","(2, 1, 0)",22200.194656645588,22223.345844158313,82.69320606886671,119.57707642553461
"(2, 0, 0)","(1, 1, 0)",22489.275267134646,22512.444662831098,82.69475068064978,119.5773537235217
"(2, 0, 0)","(2, 1, 0)",22127.01892499946,22155.95583513188,82.69439420454711,119.57820511644742
"(1, 0, 2)","(1, 1, 0)",22499.442541631215,22528.4063502353,82.70639260249133,119.58541732862477
"(2, 0, 1)","(1, 1, 0)",22491.246377754942,22520.20812237551,82.71089731812944,119.58867773477392
"(0, 0, 2)","(0, 1, 0)",24176.828471762074,24194.219112790423,82.66719503349206,119.58983336975767
"(1, 0, 1)","(2, 1, 0)",22138.480553728798,22167.419538119702,82.78480654359649,119.64176700992758
"(2, 0, 2)","(1, 0, 1)",21615.731743136148,21656.309905535632,82.75028120281627,119.6507389327986
"(1, 0, 0)","(2, 0, 2)",21628.715505916236,21663.472076241134,82.75361521732059,119.66773932669682
"(1, 0, 1)","(1, 1, 0)",22499.695501149567,22522.86654803283,82.83746747159105,119.67763033949169
"(1, 1, 0)","(0, 0, 2)",21532.850537184346,21556.019932880798,82.81331676240345,119.69990845384287
"(2, 1, 2)","(0, 0, 2)",21520.689693429893,21561.230353163948,82.8145229070974,119.70106860617817
"(1, 1, 2)","(0, 0, 2)",21518.861395117652,21553.610532032555,82.81501980441386,119.70154481411622
"(2, 1, 0)","(0, 0, 2)",21534.22095173449,21563.182696355056,82.81646371360172,119.70292966870306
"(1, 1, 1)","(0, 0, 2)",21526.092961189686,21555.052640974376,82.81678406521647,119.70323746919097
"(0, 1, 2)","(0, 0, 2)",21517.98050075835,21546.938114854103,82.81869946256879,119.70507610868607
"(0, 1, 1)","(0, 0, 2)",21525.66586705568,21548.83361088343,82.82476980875687,119.7109041325404
