,RMSE,MAE,MAPE,PI_Width,CI_Coverage,PI_Overlap
mean,476.2733069357488,397.8109387520032,10.91574209208458,0.0,0.0,0.0
std,100.7887576885895,110.58701845468165,2.646644747434222,0.0,0.0,0.0
