,RMSE,MAE,MAPE,PI_Width,CI_Coverage,PI_Overlap
mean,711.1407804227193,613.15061888656,16.932161206367972,0.0,0.0,0.0
std,481.3660318042093,498.66467455371827,12.76126335348263,0.0,0.0,0.0
