True,Pred
2822,4094.7778
2850,4124.2363
2634,4280.6846
2734,4385.674
2810,4487.3364
2925,4615.6616
2970,4732.647
2739,4854.398
2718,4983.331
3098,5112.1836
3416,5245.3574
3721,5382.5312
3608,5522.5454
3475,5666.5127
3384,5814.2573
3668,5965.7036
3624,6121.1685
3518,6280.6636
3695,6444.28
3745,6612.1665
4044,6784.411
4332,6961.1274
4006,7142.44
4252,7328.4624
4056,7519.3174
4129,7715.133
3950,7916.035
3980,8122.158
4000,8333.637
4022,8550.61
3832,8773.223
3820,9001.618
4017,9235.949
4008,9476.368
3671,9723.034
4155,9976.11
3922,10235.763
4079,10502.16
4063,10775.482
4085,11055.904
4061,11343.613
3882,11638.798
3999,11941.653
3692,12252.378
3976,12571.177
