order,seasonal_order,mean_RMSE,std_RMSE,mean_MAE,std_MAE,mean_AIC,std_AIC,mean_BIC,std_BIC,num_successful_trials
"(0, 0, 0)","(1, 0, 1)",119.80145647584321,0.0,82.92239280228372,2.842170943040401e-14,26404.005026031038,7.275957614183426e-12,26421.398132137587,7.275957614183426e-12,30
"(0, 0, 0)","(1, 0, 2)",119.80823261722162,0.0,82.92958096942708,1.4210854715202004e-14,26275.149100263636,7.275957614183426e-12,26298.320147146915,7.275957614183426e-12,30
"(0, 0, 0)","(1, 1, 0)",119.82842937330413,2.842170943040401e-14,82.95717511758578,1.4210854715202004e-14,26526.09139441889,1.0913936421275139e-11,26537.677743113272,7.275957614183426e-12,30
"(0, 0, 0)","(1, 1, 1)",119.19526401046014,2.842170943040401e-14,82.27757183743216,2.842170943040401e-14,26511.943479822174,1.0913936421275139e-11,26529.321764984634,0.0,30
"(0, 0, 0)","(1, 1, 2)",87.23342091383557,4.263256414560601e-14,65.37290335863482,1.4210854715202004e-14,25982.23607161563,3.637978807091713e-12,26005.387259128365,7.275957614183426e-12,30
"(0, 0, 0)","(1, 2, 0)",131.3392722588386,2.842170943040401e-14,92.0187587324937,2.842170943040401e-14,27448.481221216298,7.275957614183426e-12,27460.057644331988,1.0913936421275139e-11,30
"(0, 0, 0)","(1, 2, 1)",121.93291087837866,2.842170943040401e-14,86.01036345358581,0.0,26452.98919722703,7.275957614183426e-12,26470.352587861573,7.275957614183426e-12,30
"(0, 0, 0)","(1, 2, 2)",123.96879704352794,0.0,88.68643268916418,2.842170943040401e-14,26337.390610575247,7.275957614183426e-12,26360.52183962661,3.637978807091713e-12,30
"(0, 0, 0)","(2, 0, 0)",119.80390723590504,1.4210854715202004e-14,82.92552418614929,1.4210854715202004e-14,26290.579475993633,0.0,26307.958999035196,3.637978807091713e-12,30
"(0, 0, 0)","(2, 0, 1)",119.80420725011855,2.842170943040401e-14,82.92587388752473,2.842170943040401e-14,26291.99502365663,0.0,26315.167721045396,1.0913936421275139e-11,30
"(0, 0, 0)","(2, 0, 2)",119.78964736103502,2.842170943040401e-14,82.90319634007953,2.842170943040401e-14,26275.34354160483,7.275957614183426e-12,26304.30735020891,1.0913936421275139e-11,30
"(0, 0, 0)","(2, 1, 0)",119.82894009894015,0.0,82.95868593409382,1.4210854715202004e-14,26396.231453188706,3.637978807091713e-12,26413.596087862257,7.275957614183426e-12,30
"(0, 0, 0)","(2, 1, 1)",86.96071684687551,2.842170943040401e-14,65.40661482217551,1.4210854715202004e-14,25961.546957116614,7.275957614183426e-12,25984.699803348016,7.275957614183426e-12,30
"(0, 0, 0)","(2, 1, 2)",86.57479263969692,4.263256414560601e-14,65.46987659365986,1.4210854715202004e-14,25916.77373704909,3.637978807091713e-12,25945.712721440002,3.637978807091713e-12,30
"(0, 0, 0)","(2, 2, 0)",126.00855549669677,0.0,88.67343926533552,4.263256414560601e-14,27163.103205883155,7.275957614183426e-12,27180.452877932148,7.275957614183426e-12,30
"(0, 0, 0)","(2, 2, 1)",122.182232204083,0.0,86.36185878190093,1.4210854715202004e-14,26331.778662488523,1.0913936421275139e-11,26354.91155855385,7.275957614183426e-12,30
"(0, 0, 0)","(2, 2, 2)",121.16275578322956,4.263256414560601e-14,84.95101064658651,1.4210854715202004e-14,26321.184317743075,7.275957614183426e-12,26350.098354057285,3.637978807091713e-12,30
"(0, 0, 1)","(0, 0, 0)",119.79436945070748,2.842170943040401e-14,82.91033839608774,1.4210854715202004e-14,26995.76681095773,1.0913936421275139e-11,27007.371229590244,7.275957614183426e-12,30
"(0, 0, 1)","(0, 0, 1)",119.77451651090942,2.842170943040401e-14,82.83463886013652,2.842170943040401e-14,25648.982435391834,3.637978807091713e-12,25666.374309212468,3.637978807091713e-12,30
"(0, 0, 1)","(0, 0, 2)",119.8266763500464,1.4210854715202004e-14,83.07173083145169,2.842170943040401e-14,25116.805831070516,0.0,25139.975226766976,7.275957614183426e-12,30
"(0, 0, 1)","(0, 1, 0)",119.96534936428488,2.842170943040401e-14,83.17198224928096,0.0,25012.58900676035,1.0913936421275139e-11,25024.183589307442,7.275957614183426e-12,30
"(0, 0, 1)","(0, 1, 1)",119.81901667045082,2.842170943040401e-14,83.0130566988037,0.0,24856.067601555533,1.0913936421275139e-11,24873.444648327884,0.0,30
"(0, 0, 1)","(0, 1, 2)",87.18170514129,0.0,65.68873420037569,1.4210854715202004e-14,24598.466508362886,7.275957614183426e-12,24621.616036468808,1.0913936421275139e-11,30
"(0, 0, 1)","(0, 2, 0)",173.97095790963132,5.684341886080802e-14,116.03491884727337,2.842170943040401e-14,26810.20836604949,7.275957614183426e-12,26821.79306389773,7.275957614183426e-12,30
"(0, 0, 1)","(0, 2, 1)",122.22190983576957,0.0,86.42320776325866,0.0,24840.42638278158,0.0,24857.788528861027,7.275957614183426e-12,30
"(0, 0, 1)","(0, 2, 2)",122.15449437078634,0.0,86.36168210031279,1.4210854715202004e-14,24683.47462774813,0.0,24706.60418909047,1.0913936421275139e-11,30
"(0, 0, 1)","(1, 0, 0)",119.80572640414178,1.4210854715202004e-14,82.93250918564766,0.0,24763.395454430527,1.0913936421275139e-11,24780.78979231704,1.0913936421275139e-11,30
"(0, 0, 1)","(1, 0, 1)",119.80454631009079,2.842170943040401e-14,82.9307090803266,4.263256414560601e-14,24745.060402119394,7.275957614183426e-12,24768.249567213577,0.0,30
"(0, 0, 1)","(1, 0, 2)",119.7802046620281,1.4210854715202004e-14,82.89794718824972,2.842170943040401e-14,24627.069111443776,1.0913936421275139e-11,24656.030856064324,7.275957614183426e-12,30
"(0, 0, 1)","(1, 1, 0)",119.86245291521658,1.4210854715202004e-14,83.05766488496975,2.842170943040401e-14,24882.006213255227,0.0,24899.385736296786,7.275957614183426e-12,30
"(0, 0, 1)","(1, 1, 1)",87.25692984157409,2.842170943040401e-14,65.33604012308645,1.4210854715202004e-14,24459.63792442832,3.637978807091713e-12,24482.80732012478,1.0913936421275139e-11,30
"(0, 0, 1)","(1, 1, 2)",87.16181580788944,2.842170943040401e-14,65.35183402111332,0.0,24330.747247470506,7.275957614183426e-12,24359.68415760293,7.275957614183426e-12,30
