True,Pred
2822,3909.5547
2850,3896.7817
2634,3935.8267
2734,3932.2244
2810,3939.0125
2925,3949.0876
2970,3953.958
2739,3960.0825
2718,3965.9365
3098,3970.9036
3416,3975.7373
3721,3980.2148
3608,3984.3284
3475,3988.1763
3384,3991.7458
3668,3995.0571
3624,3998.1367
3518,4000.996
3695,4003.6523
3745,4006.1199
4044,4008.412
4332,4010.5413
4006,4012.5193
4252,4014.3567
4056,4016.0637
4129,4017.6501
3950,4019.1233
3980,4020.4924
4000,4021.7642
4022,4022.9458
3832,4024.0432
3820,4025.0632
4017,4026.0107
4008,4026.8914
3671,4027.7087
4155,4028.469
3922,4029.175
4079,4029.831
4063,4030.441
4085,4031.0068
4061,4031.5332
3882,4032.0217
3999,4032.4763
3692,4032.8977
3976,4033.29
