,RMSE,MAE,MAPE,PI_Width,CI_Coverage,PI_Overlap
mean,584.3872382845711,478.238166051794,14.213645384931045,0.0,0.0,0.0
std,118.22000806129904,118.11199406511412,3.2427766347664364,0.0,0.0,0.0
