,RMSE,MAE,MAPE,PI_Width,CI_Coverage,PI_Overlap
mean,474.0001221880393,357.7862080395705,10.558641424045415,0.0,0.0,0.0
std,51.101741924125065,57.72643174758224,1.397497564382342,0.0,0.0,0.0
