,RMSE,MAE,MAPE,PI Width,CI Coverage,PI Overlap
mean,491.08038554806905,423.06264220120613,7.4389721482831215,0.0,0.0,0.0
std,219.02363334899633,224.86872683699914,3.9566586934678236,0.0,0.0,0.0
