True,Pred
4716,4899.6646
4377,4926.6772
4484,4848.7095
4911,4823.0586
5218,4928.375
5759,5090.196
5456,5351.323
5359,5435.301
5305,5448.391
5769,5431.8086
5565,5549.2544
5367,5570.5513
5633,5521.927
5664,5561.9385
6082,5599.7705
6505,5744.7573
5813,5964.3135
6379,5904.584
6091,6014.305
6219,6003.38
6052,6027.035
6105,5992.8154
6030,5983.324
5969,5956.2886
5707,5921.2095
5681,5823.1997
6052,5751.5586
5904,5816.166
5426,5822.9688
6005,5687.893
5766,5762.491
5946,5750.8975
5981,5793.476
6104,5832.677
5991,5892.8296
5670,5898.129
5709,5804.573
5416,5750.763
5793,5633.8022
5750,5667.1626
5399,5685.0005
6123,5596.84
5730,5744.8525
6015,5736.767
5989,5807.5063
6333,5846.484
6388,5968.6763
6048,6064.484
6322,6022.843
6405,6067.0625
6523,6120.951
