,RMSE,MAE,MAPE,PI_Width,CI_Coverage,PI_Overlap
mean,501.21893366953105,405.31786017689285,11.520810872279753,0.0,0.0,0.0
std,98.5187228327791,112.25888320892052,2.669325085679375,0.0,0.0,0.0
