,mean,std,lower_ci,upper_ci,ci_width
train_rmse,292.4742,16.4903,290.1887,294.7596,4.5709
train_mae,236.3027,14.9469,234.2312,238.3743,4.1431
train_mape,6.1877,0.3849,6.1344,6.2411,0.1067
train_pi_coverage,95.3216,1.1029,95.1687,95.4744,0.3057
test_rmse,1292.3986,50.6301,1285.3816,1299.4155,14.0339
test_mae,1106.8587,55.1392,1099.2168,1114.5006,15.2838
test_mape,18.0143,0.9471,17.883,18.1455,0.2625
test_pi_coverage,61.6792,2.724,61.3016,62.0567,0.755
