,RMSE,MAE,MAPE,PI_Width,CI_Coverage,PI_Overlap
mean,649.5146287230757,555.9326849712589,15.402264550266894,0.0,0.0,0.0
std,371.71153922403374,385.9283940743286,9.860810740254621,0.0,0.0,0.0
