,RMSE,MAE,MAPE,PI_Width,CI_Coverage,PI_Overlap
mean,523.3861146531086,419.75576081452544,12.687034001347488,0.0,0.0,0.0
std,69.31229038796732,65.91540368962873,1.8432728258097382,0.0,0.0,0.0
