lookback,batch_size,epochs,encoder_units,decoder_units,attention,RMSE_mean,RMSE_std,MAE_mean,MAE_std,MAPE_mean,MAPE_std
12,32,50,128,64,False,269.97934136288626,4.68256021121865,211.51380660445605,6.04894707688908,5.728488882716805,0.1115503342598431
12,32,50,64,128,False,270.0315134935875,1.359112235448022,220.0637901023583,5.202377615664392,5.900987503524006,0.1036474313265675
12,32,50,128,128,False,271.03398985196696,6.312612298549123,208.1453943323206,4.126676857654684,5.665991132400526,0.0876162133905559
12,32,100,64,64,False,275.08560121733706,4.789655463099993,205.60871152524592,2.705704461321816,5.629063369957939,0.0453352172851286
12,32,50,64,64,False,276.6970068414062,5.347473555672753,205.4153537326389,2.155650151963071,5.632106890114048,0.0379162376387453
12,8,100,128,64,False,279.2191801272287,36.11275997425261,216.25882930049184,38.560178810741945,5.886951848537281,1.0265288307769076
12,16,100,64,128,False,282.5858900250793,5.269773260701282,204.9147273310909,1.0354170602252752,5.646482507752384,0.0225330958386028
12,16,100,128,64,False,284.1553857640501,2.1842490731474875,204.5179549605758,0.2932404661218361,5.644379440396704,0.0151405041662607
12,32,100,128,128,False,286.4486525467013,1.5350292067540638,205.3189412434896,1.0025903916850911,5.674829149121255,0.0299712734609465
12,16,50,64,128,False,288.3296146899072,9.089142992177496,209.04842258029512,4.593999138953571,5.769059064995972,0.1402518984858524
12,16,100,128,128,False,288.4725778695199,15.434357126432204,209.21365853768805,17.403993085768782,5.772424655123119,0.4684310963083947
12,32,100,128,64,False,291.990668778465,3.3659522154558554,209.94480251736115,2.745669378822315,5.806916890306976,0.0789350246329381
12,16,50,128,64,False,294.4824435102343,3.162729546452059,212.1515505190249,2.9198195132707454,5.869481426717443,0.0819684987362588
12,16,50,128,128,False,294.9189196919973,22.216169077320515,215.47345174153645,26.787668822747783,5.94649234429855,0.7118392904146722
12,8,100,64,64,False,296.82234083281816,14.040112176758976,215.1293253580729,15.423302576661843,5.945744037886977,0.4187367625960759
12,16,100,64,128,True,301.1219035229436,2.902636841197538,215.9504573115596,2.5654529238833077,5.979207170258905,0.0720760758639452
12,8,100,128,128,True,301.4380499341013,31.746711039300667,223.34475798430265,35.40472840808813,6.147767698601643,0.951604814061167
12,16,100,128,64,True,304.3119110841034,3.5609331913459727,218.79706330475983,3.012302818548159,6.059065262733935,0.0847306961438539
12,16,100,128,128,True,305.0632099434326,3.6029054458573184,219.30324729636865,3.127224423817527,6.0736369514073765,0.0878620472389674
12,8,50,128,64,False,311.17914245308515,46.37911833008863,230.58748937536168,56.553704014834814,6.357744060894868,1.4729982678169844
12,8,50,64,64,False,311.60045419127783,14.20654379900753,229.78640385380493,18.386056755640386,6.350097516252748,0.4865457554857835
12,8,100,64,64,True,318.34884717669934,20.17314434519067,236.73164695457177,21.281966947584493,6.534488226371555,0.5796773070979462
12,32,100,128,64,True,322.806909802622,5.747786094840331,239.40926265010123,7.682855983767407,6.616908214040333,0.2035455374255605
