,RMSE,MAE,MAPE,PI Width,CI Coverage,PI Overlap
mean,923.8695053785617,474.43514294680125,8.94503894129997,0.0,0.0,0.0
std,3.4689102975490264e-13,1.156303432516342e-13,0.0,0.0,0.0,0.0
