,RMSE,MAE,MAPE,PI_Width,CI_Coverage,PI_Overlap
mean,519.6803766015265,413.267160192419,12.534357193053665,0.0,0.0,0.0
std,48.458322666049504,34.055812118476,0.9447529969371471,0.0,0.0,0.0
