,RMSE,MAE,MAPE,PI_Width,CI_Coverage,PI_Overlap
mean,485.9154945631468,395.3293886885683,10.973692857543265,0.0,0.0,0.0
std,109.60071714008474,129.41087732834643,3.126459623735844,0.0,0.0,0.0
