,RMSE,MAE,MAPE,PI Width,CI Coverage,PI Overlap
mean,268.81115638259183,215.13729355126094,3.8632821751240924,0.0,0.0,0.0
std,1.6906006841917514,1.3713930456160839,0.01936767428616838,0.0,0.0,0.0
