,RMSE,MAE,MAPE,PI_Width,CI_Coverage,PI_Overlap
mean,526.8143758137246,439.4954378255208,12.903311110916635,0.0,0.0,0.0
std,67.77640857492304,72.42494155318263,1.4714460584455409,0.0,0.0,0.0
