,train_mean_rmse,train_std_rmse,test_mean_rmse,test_std_rmse,train_mean_mape,train_std_mape,test_mean_mape,test_std_mape,trials_completed
42,699.7617,0.0,1622.1736,0.0,12.1896,0.0,24.9654,0.0,30.0
123,699.7617,0.0,1622.1736,0.0,12.1896,0.0,24.9654,0.0,30.0
456,699.7617,0.0,1622.1736,0.0,12.1896,0.0,24.9654,0.0,30.0
789,699.7617,0.0,1622.1736,0.0,12.1896,0.0,24.9654,0.0,30.0
1000,699.7617,0.0,1622.1736,0.0,12.1896,0.0,24.9654,0.0,30.0
