,RMSE,MAE,MAPE,PI Width,CI Coverage,PI Overlap
mean,918.3528525517398,464.00826697920337,8.675591906436853,0.0,0.0,0.0
std,1.156303432516342e-13,1.7344551487745132e-13,3.613448226613569e-15,0.0,0.0,0.0
