True,Pred
2718,3950.213
3098,3970.592
3416,3976.398
3721,3983.0125
3608,3984.023
3475,3983.2446
3384,3980.6042
3668,3977.5437
3624,3978.6958
3518,3977.9536
3695,3985.1584
3745,3987.4849
4044,3989.8767
4332,3991.5571
4006,3992.823
4252,3993.7153
4056,3994.4148
4129,3995.0352
3950,3995.6816
3980,3996.4182
4000,3997.173
4022,3997.9873
3832,3998.6604
3820,3999.257
4017,3999.7727
4008,4000.2217
3671,4000.6177
4155,4000.9753
3922,4001.3047
4079,4001.6125
4063,4001.9011
4085,4002.1697
4061,4002.417
3882,4002.6414
3999,4002.8445
3692,4003.0278
3976,4003.194
