,RMSE,MAE,MAPE,PI_Width,CI_Coverage,PI_Overlap
mean,1289.1624409649194,1195.1694799578631,34.270976384107755,0.0,0.0,0.0
std,1321.4043089799025,1349.7811497603743,37.34261670997028,0.0,0.0,0.0
